Industry,Employees,Cloud_Usage,Firewall_Installed,EDR_Installed,SIEM_Installed,MFA_Enabled,DLP_Enabled,Compliance_Requirement,Main_Threat_Concern,Security_Budget,Risk_Level,Recommended_Solution
Manufacturing,2500,Medium,No,No,No,No,Yes,SOX,Insider Threat,Low,High,PAM
Healthcare,2500,Very High,No,No,Yes,No,No,IEC62443,Web Application Attack,Very Low,High,NAC
Logistics,250,Very High,Yes,No,Yes,No,No,CMMC,API Attack,Low,Critical,Vulnerability Management
Real Estate,500,Very High,Yes,No,No,No,Yes,IEC62443,Web Application Attack,Medium,Medium,XDR Platform
Technology,50,High,No,No,No,No,Yes,PCI-DSS,Privilege Escalation,Enterprise,Low,Attack Surface Management
Healthcare,5000,High,No,No,Yes,Yes,Yes,NIST,Shadow IT,Very Low,Medium,IAM
Manufacturing,50,Medium,No,Yes,No,No,Yes,IEC62443,Data Breach,Low,Medium,EDR Platform
Energy,1000,High,Yes,No,Yes,No,No,HITRUST,Zero-Day Exploit,Medium,High,Vulnerability Management
Insurance,10000,Very High,Yes,No,Yes,Yes,No,PCI-DSS,Supply Chain Attack,Low,High,Vulnerability Management
Media,50,Very High,Yes,No,No,Yes,Yes,NIST,Web Application Attack,Medium,High,Email Security Gateway
Defense,250,High,No,No,No,No,No,CCPA,Malware,High,High,Attack Surface Management
Manufacturing,10000,Low,No,Yes,No,No,Yes,NERC-CIP,DDoS,High,Low,Ransomware Protection
Energy,1000,Medium,No,Yes,Yes,No,Yes,HITRUST,APT,Medium,Medium,PAM
Finance,50,Low,No,No,No,No,No,FISMA,Cryptojacking,High,Critical,MDR Service
Oil & Gas,10000,Low,No,Yes,No,No,No,FISMA,Phishing,Low,Medium,Attack Surface Management
Oil & Gas,50,Medium,Yes,No,No,No,No,HIPAA,Cloud Security,High,Critical,Ransomware Protection
Defense,500,Low,Yes,No,Yes,Yes,No,CCPA,OT Attack,Medium,Critical,XDR Platform
Defense,10000,High,No,Yes,No,No,Yes,HIPAA,Web Application Attack,Enterprise,Low,EDR Platform
Pharmaceutical,2500,Low,Yes,Yes,Yes,Yes,No,NIST,Cryptojacking,High,High,DLP Solution
Technology,2500,Very High,No,No,Yes,Yes,No,SOC2,Ransomware,Very Low,Medium,SOC-as-a-Service
E-Commerce,1000,Very High,Yes,Yes,No,No,No,SOC2,Shadow IT,Low,Low,Email Security Gateway
Banking,500,Medium,Yes,No,No,No,No,HITRUST,OT Attack,Very Low,High,WAF
Manufacturing,5000,Low,No,No,No,Yes,Yes,NERC-CIP,Ransomware,Medium,Low,NAC
Logistics,2500,Low,Yes,Yes,No,Yes,No,FedRAMP,Nation-State Attack,Very Low,High,NAC
Energy,2500,Very High,No,Yes,Yes,No,Yes,PCI-DSS,Zero-Day Exploit,Enterprise,Critical,CASB
Technology,2500,Medium,No,Yes,Yes,Yes,Yes,IEC62443,Cloud Security,Low,Critical,Cloud Security Platform
Real Estate,100,High,No,Yes,Yes,Yes,No,PCI-DSS,Phishing,Enterprise,Critical,Security Awareness Training
Logistics,100,Medium,Yes,No,Yes,No,Yes,HITRUST,Business Email Compromise,High,Low,EDR Platform
Manufacturing,2500,Very High,No,Yes,No,Yes,Yes,FedRAMP,DDoS,Medium,High,PAM
Transportation,10000,None,No,Yes,No,No,Yes,HIPAA,Supply Chain Attack,Low,Low,Cloud Security Platform
Logistics,50,None,Yes,No,Yes,No,No,CCPA,Phishing,High,Low,CASB
Media,2500,None,Yes,No,Yes,No,Yes,FISMA,Phishing,Medium,Medium,IAM
Finance,2500,Medium,No,No,No,Yes,No,GDPR,Cloud Security,High,High,ZTNA Solution
Healthcare,100,Very High,No,No,No,Yes,No,ISO27001,Data Breach,High,Critical,Email Security Gateway
Retail,250,Medium,No,No,Yes,No,No,FISMA,APT,Low,High,NAC
Banking,2500,Very High,No,Yes,No,Yes,No,COBIT,Ransomware,Enterprise,Low,CASB
Technology,50,Medium,No,Yes,Yes,No,No,COBIT,Data Breach,Low,Medium,Ransomware Protection
Technology,500,High,No,No,Yes,No,Yes,NERC-CIP,Web Application Attack,Very Low,High,Data Encryption Platform
Telecommunications,250,Medium,Yes,Yes,No,No,No,COBIT,Shadow IT,Enterprise,High,Cloud Security Platform
Pharmaceutical,5000,High,No,Yes,No,Yes,No,NERC-CIP,API Attack,Low,High,Ransomware Protection
Transportation,10000,High,No,No,Yes,No,Yes,FISMA,Cryptojacking,Enterprise,Low,Data Encryption Platform
Hospitality,500,Very High,Yes,No,Yes,Yes,No,IEC62443,Nation-State Attack,Very Low,Medium,DLP Solution
E-Commerce,50,Medium,No,No,No,No,Yes,CCPA,Credential Theft,Very Low,High,Attack Surface Management
Pharmaceutical,1000,None,No,No,No,Yes,No,NERC-CIP,Insider Threat,Low,Critical,IAM
Logistics,10000,Medium,No,No,Yes,Yes,No,HIPAA,Privilege Escalation,Very Low,Medium,Ransomware Protection
Real Estate,500,Very High,No,No,Yes,No,No,GDPR,DDoS,Enterprise,Critical,NAC
Defense,250,Medium,No,Yes,No,No,No,CCPA,Malware,Medium,Critical,PAM
Retail,5000,Medium,Yes,No,Yes,Yes,Yes,GDPR,Phishing,Medium,Low,Ransomware Protection
Defense,100,None,No,Yes,Yes,Yes,Yes,CCPA,Credential Theft,Medium,Medium,PAM
Hospitality,50,Medium,Yes,Yes,Yes,Yes,Yes,SOC2,Privilege Escalation,Medium,Critical,ZTNA Solution
E-Commerce,100,Low,Yes,No,Yes,No,No,GDPR,Insider Threat,Very Low,Medium,Attack Surface Management
Manufacturing,500,None,Yes,Yes,No,Yes,Yes,COBIT,Malware,Low,Medium,PAM
Logistics,100,Low,No,No,Yes,No,Yes,COBIT,Supply Chain Attack,Very Low,Low,Vulnerability Management
Education,2500,Low,No,Yes,Yes,No,No,NIST,Cloud Security,Low,Critical,Ransomware Protection
Technology,50,Low,Yes,Yes,Yes,Yes,No,NIST,API Attack,High,Critical,Data Encryption Platform
Energy,50,High,No,Yes,No,Yes,No,HITRUST,Business Email Compromise,High,Medium,PAM
Energy,250,High,Yes,Yes,No,No,No,SOX,Insider Threat,Very Low,Critical,Threat Intelligence Platform
Manufacturing,50,High,Yes,No,No,No,No,ISO27001,DDoS,Low,Medium,CASB
Finance,2500,Low,Yes,No,No,No,No,SOC2,Nation-State Attack,High,Critical,Vulnerability Management
Manufacturing,5000,None,No,No,No,No,No,SOX,Credential Theft,Medium,Medium,Data Encryption Platform
Retail,100,None,No,No,No,Yes,Yes,SOC2,API Attack,Low,Medium,Ransomware Protection
E-Commerce,5000,Medium,No,No,No,No,No,PCI-DSS,Cloud Security,High,Critical,Attack Surface Management
Government,10000,Low,No,No,No,No,Yes,CMMC,Malware,Medium,High,Email Security Gateway
Hospitality,10000,High,No,No,No,No,Yes,HIPAA,Phishing,Very Low,Medium,IAM
Insurance,250,Low,No,Yes,No,No,Yes,CMMC,Business Email Compromise,Very Low,High,IAM
Government,250,Very High,Yes,Yes,No,Yes,No,CMMC,Cryptojacking,Very Low,High,EDR Platform
Education,50,Low,Yes,No,Yes,No,No,HITRUST,Shadow IT,Low,Medium,EDR Platform
Logistics,2500,Low,Yes,Yes,Yes,Yes,No,COBIT,OT Attack,Enterprise,High,PAM
Banking,100,Very High,Yes,Yes,Yes,Yes,No,FISMA,Credential Theft,Enterprise,High,Security Awareness Training
Banking,5000,None,No,No,No,No,No,PCI-DSS,Malware,High,High,WAF
Logistics,100,High,No,No,No,Yes,No,HITRUST,Malware,Medium,Low,Email Security Gateway
Education,250,Medium,No,Yes,Yes,No,Yes,FISMA,Insider Threat,High,Medium,Data Encryption Platform
Oil & Gas,2500,Low,No,Yes,Yes,No,No,CMMC,Privilege Escalation,Low,Critical,Threat Intelligence Platform
Pharmaceutical,500,Medium,Yes,Yes,Yes,Yes,Yes,CMMC,Zero-Day Exploit,Very Low,Medium,NAC
Defense,100,Medium,Yes,Yes,Yes,No,Yes,FISMA,API Attack,Low,Low,DLP Solution
Finance,250,High,Yes,Yes,Yes,No,No,PCI-DSS,Malware,Medium,High,XDR Platform
Hospitality,50,High,Yes,No,Yes,No,No,CCPA,APT,Medium,Low,Attack Surface Management
Banking,250,None,No,Yes,No,Yes,Yes,HIPAA,Cryptojacking,Low,Critical,Threat Intelligence Platform
Education,1000,Low,Yes,No,Yes,No,No,FISMA,Credential Theft,Low,High,NAC
Defense,500,Very High,Yes,Yes,No,Yes,Yes,SOX,Supply Chain Attack,Medium,High,SOC-as-a-Service
E-Commerce,5000,Medium,Yes,No,No,Yes,Yes,NIST,Web Application Attack,Medium,Medium,Security Awareness Training
Transportation,50,None,Yes,No,No,No,No,CCPA,APT,Enterprise,High,PAM
Defense,1000,None,Yes,No,No,Yes,Yes,NERC-CIP,Supply Chain Attack,Medium,Low,CASB
Insurance,100,High,No,Yes,No,No,Yes,IEC62443,Data Breach,Low,High,SIEM Solution
Education,10000,Very High,Yes,No,Yes,No,Yes,FedRAMP,Data Breach,Enterprise,Medium,Security Awareness Training
Defense,5000,Very High,Yes,No,Yes,No,No,GDPR,Insider Threat,Low,High,Attack Surface Management
Government,100,Very High,No,No,No,No,No,HIPAA,Shadow IT,Medium,Low,Data Encryption Platform
Finance,100,None,Yes,No,No,No,Yes,NERC-CIP,Data Breach,Low,Low,Data Encryption Platform
Telecommunications,5000,None,Yes,No,No,Yes,No,SOC2,Ransomware,Low,Critical,ZTNA Solution
Defense,2500,Very High,No,Yes,Yes,No,No,SOX,APT,Low,High,ZTNA Solution
Transportation,50,None,No,No,Yes,Yes,No,ISO27001,Malware,Enterprise,Low,Data Encryption Platform
Energy,250,None,No,Yes,No,Yes,No,IEC62443,Web Application Attack,Very Low,Low,IAM
Finance,1000,Medium,No,Yes,Yes,Yes,Yes,SOC2,IoT Attack,Medium,Critical,Email Security Gateway
Government,500,Very High,No,Yes,No,No,Yes,NERC-CIP,APT,High,High,NAC
E-Commerce,10000,None,Yes,No,Yes,Yes,Yes,CCPA,Zero-Day Exploit,Low,Low,MDR Service
E-Commerce,250,None,Yes,No,No,No,No,IEC62443,Phishing,Enterprise,High,WAF
Healthcare,1000,Low,No,No,No,No,No,HIPAA,Phishing,Medium,High,IAM
Transportation,250,None,Yes,Yes,No,No,No,ISO27001,Data Breach,Low,Medium,MDR Service
Banking,5000,Low,No,Yes,No,Yes,Yes,IEC62443,Cryptojacking,Medium,High,Email Security Gateway
Media,500,Medium,Yes,No,No,Yes,No,SOX,APT,Low,Low,Cloud Security Platform
Media,1000,Low,Yes,Yes,Yes,No,Yes,SOX,Data Breach,Very Low,Medium,EDR Platform
Hospitality,500,None,No,Yes,Yes,Yes,No,FISMA,Cloud Security,High,Medium,NAC
Logistics,5000,Medium,No,Yes,Yes,No,Yes,NIST,APT,Medium,Medium,PAM
Healthcare,500,Medium,Yes,No,Yes,Yes,No,FISMA,Business Email Compromise,Very Low,Low,SOC-as-a-Service
Oil & Gas,100,Very High,Yes,Yes,No,Yes,Yes,GDPR,Business Email Compromise,Very Low,Medium,SIEM Solution
Real Estate,10000,Low,Yes,No,Yes,Yes,Yes,CCPA,Malware,High,High,CASB
Banking,1000,High,Yes,Yes,No,No,Yes,HIPAA,Phishing,Very Low,Medium,Email Security Gateway
Logistics,2500,Very High,Yes,Yes,No,Yes,Yes,COBIT,APT,Medium,High,NAC
Energy,10000,None,No,Yes,No,No,No,GDPR,Business Email Compromise,Low,Low,Cloud Security Platform
Government,1000,High,No,Yes,Yes,Yes,No,COBIT,DDoS,Medium,Medium,Email Security Gateway
Media,50,None,Yes,Yes,Yes,No,No,NIST,Business Email Compromise,High,High,SOC-as-a-Service
Banking,1000,Very High,Yes,Yes,Yes,Yes,No,NIST,APT,Enterprise,High,Ransomware Protection
Manufacturing,100,None,No,Yes,Yes,Yes,Yes,HIPAA,Zero-Day Exploit,Very Low,Low,Data Encryption Platform
Finance,1000,Very High,Yes,No,Yes,No,No,HITRUST,IoT Attack,High,Medium,PAM
Hospitality,10000,Very High,Yes,No,No,No,Yes,NIST,Insider Threat,Very Low,High,IAM
Retail,500,Medium,No,No,Yes,Yes,No,NERC-CIP,Malware,Low,High,Attack Surface Management
Banking,5000,High,No,No,Yes,No,Yes,SOX,API Attack,Medium,Critical,NAC
Banking,1000,High,Yes,Yes,Yes,No,No,CMMC,API Attack,High,Medium,Threat Intelligence Platform
Real Estate,250,High,Yes,Yes,No,No,No,SOC2,Insider Threat,High,Low,Data Encryption Platform
Oil & Gas,2500,Very High,Yes,Yes,No,No,Yes,SOX,APT,High,Low,ZTNA Solution
Pharmaceutical,250,Medium,No,Yes,Yes,No,No,ISO27001,Web Application Attack,Enterprise,Critical,Threat Intelligence Platform
Transportation,5000,High,No,Yes,Yes,Yes,No,HITRUST,Nation-State Attack,High,Critical,Data Encryption Platform
Banking,2500,High,Yes,No,Yes,No,No,ISO27001,API Attack,Enterprise,High,PAM
Manufacturing,500,Very High,No,No,Yes,Yes,No,COBIT,IoT Attack,High,High,SOC-as-a-Service
Oil & Gas,100,None,No,No,No,Yes,No,CMMC,IoT Attack,High,Medium,WAF
Media,2500,Very High,Yes,Yes,Yes,No,No,HIPAA,Nation-State Attack,Enterprise,Low,Ransomware Protection
Oil & Gas,1000,Low,Yes,Yes,Yes,No,No,IEC62443,APT,Very Low,Critical,PAM
Technology,50,Low,No,Yes,Yes,No,Yes,CMMC,Nation-State Attack,Very Low,Low,Ransomware Protection
Media,250,None,Yes,No,Yes,Yes,Yes,COBIT,Phishing,Low,Low,SIEM Solution
Education,50,Low,No,Yes,Yes,No,Yes,IEC62443,Privilege Escalation,Enterprise,Critical,ZTNA Solution
Hospitality,50,Low,No,Yes,Yes,Yes,Yes,IEC62443,Nation-State Attack,Very Low,Critical,IAM
Government,2500,Low,Yes,Yes,Yes,Yes,No,NIST,Zero-Day Exploit,High,High,EDR Platform
Retail,50,Low,No,No,No,No,No,NERC-CIP,IoT Attack,Enterprise,High,Cloud Security Platform
Media,10000,Very High,No,No,No,Yes,Yes,IEC62443,OT Attack,Very Low,Critical,SOC-as-a-Service
Logistics,2500,High,No,No,No,No,Yes,FedRAMP,Insider Threat,Medium,Low,WAF
Healthcare,5000,Low,No,Yes,No,Yes,No,SOC2,Phishing,Very Low,Low,PAM
Oil & Gas,250,Low,Yes,No,Yes,No,Yes,GDPR,Web Application Attack,Low,High,Email Security Gateway
Education,10000,None,No,Yes,Yes,Yes,No,HIPAA,IoT Attack,Enterprise,High,Vulnerability Management
Logistics,250,Very High,No,Yes,No,No,No,PCI-DSS,Supply Chain Attack,High,High,Threat Intelligence Platform
Healthcare,5000,Medium,No,Yes,Yes,No,No,NERC-CIP,Ransomware,Very Low,Low,Email Security Gateway
Healthcare,500,Very High,No,Yes,Yes,No,No,PCI-DSS,Data Breach,Medium,Low,ZTNA Solution
Technology,250,High,Yes,No,No,No,No,NIST,API Attack,High,Critical,PAM
Oil & Gas,10000,None,No,Yes,No,Yes,Yes,CMMC,Zero-Day Exploit,Very Low,Low,SIEM Solution
Finance,10000,Very High,Yes,No,No,Yes,No,NERC-CIP,Supply Chain Attack,Very Low,High,Vulnerability Management
Hospitality,100,Very High,Yes,No,Yes,Yes,No,FISMA,DDoS,Enterprise,Critical,Email Security Gateway
Manufacturing,500,Medium,Yes,Yes,Yes,No,Yes,SOC2,API Attack,Medium,Low,NAC
Real Estate,2500,None,Yes,Yes,No,Yes,Yes,SOC2,Insider Threat,Very Low,High,Security Awareness Training
Manufacturing,250,None,Yes,Yes,Yes,No,No,FedRAMP,Business Email Compromise,Very Low,High,XDR Platform
Energy,2500,High,Yes,No,Yes,Yes,Yes,GDPR,Shadow IT,High,Critical,ZTNA Solution
Defense,5000,High,Yes,No,Yes,Yes,Yes,ISO27001,Shadow IT,High,Critical,WAF
Media,5000,Medium,Yes,Yes,Yes,No,No,SOX,Shadow IT,Enterprise,Low,Ransomware Protection
Education,1000,Low,No,Yes,Yes,No,Yes,NERC-CIP,Business Email Compromise,Enterprise,Low,XDR Platform
Telecommunications,5000,None,Yes,No,Yes,No,No,CCPA,Malware,High,Low,NAC
Technology,50,None,Yes,Yes,No,No,Yes,HIPAA,DDoS,High,Medium,ZTNA Solution
Hospitality,5000,Low,No,Yes,No,No,No,NIST,Ransomware,High,Medium,Email Security Gateway
Energy,50,Medium,Yes,No,No,Yes,Yes,CMMC,Business Email Compromise,Enterprise,Medium,DLP Solution
Technology,1000,None,Yes,No,Yes,Yes,No,COBIT,Supply Chain Attack,Medium,Critical,Cloud Security Platform
Finance,250,Very High,No,No,No,Yes,Yes,COBIT,IoT Attack,High,Low,IAM
Logistics,250,Medium,No,Yes,No,No,Yes,HIPAA,Credential Theft,Medium,Critical,WAF
Education,500,None,Yes,No,Yes,Yes,Yes,HITRUST,Data Breach,Enterprise,Medium,EDR Platform
Hospitality,2500,Very High,No,Yes,No,Yes,Yes,NIST,Data Breach,Medium,High,MDR Service
Retail,1000,High,Yes,Yes,Yes,No,Yes,ISO27001,API Attack,Low,Critical,CASB
Manufacturing,2500,None,Yes,Yes,Yes,Yes,Yes,HIPAA,Web Application Attack,Very Low,Medium,NAC
Real Estate,500,Low,Yes,No,Yes,Yes,No,HITRUST,Cryptojacking,Very Low,High,PAM
Healthcare,50,None,Yes,No,Yes,Yes,Yes,GDPR,Malware,Low,Low,EDR Platform
Education,5000,Low,Yes,Yes,No,Yes,No,COBIT,Malware,Very Low,High,IAM
Technology,1000,Medium,Yes,Yes,Yes,Yes,Yes,GDPR,OT Attack,Low,Medium,Email Security Gateway
Pharmaceutical,100,Very High,Yes,Yes,Yes,Yes,Yes,HIPAA,Privilege Escalation,Medium,High,WAF
Oil & Gas,1000,High,No,Yes,No,No,Yes,FISMA,Phishing,High,Low,Vulnerability Management
Finance,50,Low,Yes,Yes,Yes,No,No,FedRAMP,Web Application Attack,High,High,ZTNA Solution
Energy,5000,Very High,Yes,Yes,Yes,Yes,Yes,SOX,Nation-State Attack,High,Medium,Vulnerability Management
Insurance,1000,Very High,Yes,Yes,No,No,No,FISMA,Web Application Attack,Low,Medium,SIEM Solution
Healthcare,50,Low,No,No,No,Yes,Yes,CMMC,Data Breach,High,Low,SOC-as-a-Service
Banking,10000,High,No,Yes,Yes,No,Yes,COBIT,Malware,Medium,High,Email Security Gateway
Logistics,250,Low,Yes,Yes,No,Yes,No,HITRUST,OT Attack,Very Low,Medium,EDR Platform
Oil & Gas,2500,High,Yes,No,No,Yes,No,ISO27001,Web Application Attack,Enterprise,Medium,Cloud Security Platform
Transportation,250,None,Yes,No,Yes,No,No,HIPAA,Cloud Security,Low,Critical,Data Encryption Platform
Media,2500,Very High,Yes,Yes,No,Yes,No,FISMA,Cloud Security,High,Critical,XDR Platform
Media,100,Low,No,Yes,No,No,Yes,CMMC,Business Email Compromise,Low,Low,IAM
Real Estate,1000,High,No,Yes,No,Yes,Yes,IEC62443,Cryptojacking,Low,Medium,Email Security Gateway
Hospitality,5000,High,Yes,Yes,Yes,Yes,No,SOC2,Cryptojacking,Low,Low,ZTNA Solution
Technology,50,None,No,No,Yes,Yes,Yes,CCPA,IoT Attack,High,Low,SIEM Solution
Real Estate,250,None,No,No,No,No,No,GDPR,Privilege Escalation,Low,Medium,CASB
Real Estate,2500,Medium,No,Yes,No,Yes,Yes,COBIT,Privilege Escalation,High,Critical,Email Security Gateway
Hospitality,1000,Low,Yes,No,Yes,No,No,HITRUST,Business Email Compromise,Very Low,Critical,PAM
Healthcare,50,Low,No,Yes,Yes,No,Yes,HIPAA,Malware,Medium,Critical,CASB
Banking,5000,High,No,No,Yes,No,No,SOX,Privilege Escalation,Enterprise,High,WAF
Education,5000,None,No,No,No,Yes,No,NIST,Data Breach,High,High,Email Security Gateway
Pharmaceutical,100,Low,No,Yes,Yes,No,Yes,PCI-DSS,Malware,Medium,Critical,Attack Surface Management
Telecommunications,50,Low,Yes,No,No,Yes,No,FISMA,API Attack,Very Low,Low,WAF
Oil & Gas,1000,Low,No,Yes,Yes,Yes,Yes,HIPAA,Data Breach,Very Low,Critical,EDR Platform
Pharmaceutical,50,Medium,Yes,Yes,Yes,No,Yes,SOC2,Phishing,Medium,Medium,CASB
Transportation,250,High,Yes,Yes,No,Yes,No,FISMA,APT,Very Low,Critical,Cloud Security Platform
Manufacturing,500,High,Yes,No,No,No,No,PCI-DSS,Zero-Day Exploit,Enterprise,Low,ZTNA Solution
Media,5000,Very High,Yes,No,No,Yes,No,SOX,Phishing,Very Low,Low,Email Security Gateway
Pharmaceutical,5000,Very High,No,No,No,Yes,No,ISO27001,Zero-Day Exploit,Enterprise,High,IAM
Telecommunications,1000,Very High,No,No,Yes,No,Yes,IEC62443,OT Attack,High,Low,EDR Platform
Hospitality,250,None,No,Yes,Yes,No,Yes,HIPAA,APT,Enterprise,Low,SOC-as-a-Service
Finance,100,Low,Yes,Yes,Yes,No,No,PCI-DSS,API Attack,Medium,High,IAM
Retail,500,Very High,No,No,Yes,No,Yes,FISMA,Web Application Attack,Low,Critical,Attack Surface Management
Transportation,500,High,Yes,Yes,Yes,No,No,COBIT,Supply Chain Attack,Very Low,Critical,Ransomware Protection
Media,10000,Low,No,Yes,Yes,Yes,No,IEC62443,Cloud Security,Very Low,Medium,WAF
Retail,2500,Very High,No,Yes,Yes,Yes,No,NIST,Cryptojacking,High,Medium,ZTNA Solution
Oil & Gas,250,Medium,Yes,Yes,Yes,No,Yes,CCPA,IoT Attack,Enterprise,High,NAC
Banking,250,None,No,Yes,No,Yes,No,HIPAA,Web Application Attack,Very Low,Low,Attack Surface Management
Finance,500,High,No,No,Yes,Yes,No,COBIT,Zero-Day Exploit,Very Low,Medium,XDR Platform
Pharmaceutical,500,High,Yes,Yes,Yes,No,Yes,HIPAA,IoT Attack,Low,High,XDR Platform
Real Estate,250,High,Yes,No,Yes,Yes,Yes,SOC2,Cloud Security,Very Low,High,Email Security Gateway
Media,5000,Low,Yes,No,No,No,Yes,SOX,DDoS,Very Low,High,ZTNA Solution
Education,100,None,No,Yes,Yes,Yes,Yes,CMMC,Insider Threat,Very Low,Medium,DLP Solution
Defense,10000,Medium,Yes,No,No,Yes,No,ISO27001,Cloud Security,Medium,High,CASB
Real Estate,50,Medium,Yes,No,Yes,No,No,IEC62443,Malware,Very Low,Medium,EDR Platform
Real Estate,50,High,No,No,No,No,Yes,GDPR,Credential Theft,Low,Low,Cloud Security Platform
Oil & Gas,250,None,No,Yes,No,Yes,Yes,PCI-DSS,API Attack,High,Critical,SIEM Solution
Finance,500,Low,Yes,Yes,Yes,No,Yes,CMMC,Zero-Day Exploit,Medium,High,NAC
Manufacturing,250,None,Yes,No,No,No,No,HIPAA,IoT Attack,Medium,Low,CASB
Real Estate,500,High,Yes,Yes,No,No,No,NIST,Insider Threat,Medium,Low,SIEM Solution
Media,50,Low,No,No,Yes,No,Yes,SOC2,Cloud Security,Low,Low,XDR Platform
Pharmaceutical,50,Medium,No,Yes,No,No,No,FISMA,IoT Attack,Medium,Low,Cloud Security Platform
Oil & Gas,250,Low,Yes,Yes,No,Yes,Yes,CMMC,Privilege Escalation,High,Critical,Attack Surface Management
Manufacturing,500,Very High,Yes,Yes,No,No,No,HITRUST,Ransomware,Very Low,Medium,XDR Platform
Finance,500,Low,No,Yes,No,No,No,COBIT,Shadow IT,Low,High,Attack Surface Management
Insurance,50,Low,Yes,Yes,No,No,Yes,COBIT,Cryptojacking,Low,Critical,Data Encryption Platform
Finance,2500,Low,No,Yes,Yes,Yes,No,FedRAMP,Phishing,Enterprise,Critical,Security Awareness Training
Hospitality,5000,Low,No,No,No,No,No,FedRAMP,OT Attack,High,Low,PAM
Government,50,High,Yes,Yes,Yes,Yes,No,FISMA,IoT Attack,High,High,EDR Platform
Retail,2500,High,Yes,Yes,No,Yes,No,NIST,Shadow IT,High,Medium,PAM
Energy,100,Very High,No,No,Yes,Yes,Yes,ISO27001,Credential Theft,High,Medium,Threat Intelligence Platform
Real Estate,1000,Very High,Yes,No,No,Yes,Yes,NERC-CIP,API Attack,High,Critical,IAM
Transportation,10000,Medium,No,No,No,Yes,No,SOC2,Ransomware,Enterprise,Medium,CASB
Finance,50,None,No,Yes,Yes,Yes,No,IEC62443,Data Breach,Very Low,High,NAC
Technology,10000,High,No,Yes,Yes,Yes,No,NIST,Data Breach,Very Low,Low,CASB
Technology,10000,Very High,No,No,Yes,Yes,No,NIST,DDoS,High,High,ZTNA Solution
Education,50,High,Yes,Yes,No,No,Yes,NERC-CIP,Credential Theft,Very Low,Low,IAM
Retail,500,High,No,No,No,No,Yes,SOX,Malware,Low,Low,Email Security Gateway
Pharmaceutical,10000,Medium,Yes,No,Yes,Yes,Yes,NERC-CIP,Shadow IT,High,High,XDR Platform
Telecommunications,100,None,Yes,Yes,Yes,No,No,SOX,Zero-Day Exploit,Medium,Low,MDR Service
Technology,100,Low,No,No,No,Yes,Yes,NIST,Privilege Escalation,Low,Medium,SOC-as-a-Service
Healthcare,1000,Low,No,Yes,No,Yes,No,IEC62443,Insider Threat,Medium,Medium,XDR Platform
Insurance,5000,None,Yes,Yes,Yes,Yes,Yes,HIPAA,Privilege Escalation,Medium,Critical,IAM
Education,1000,High,No,Yes,No,No,No,SOX,Cloud Security,High,Medium,Security Awareness Training
Manufacturing,50,Medium,No,Yes,Yes,No,Yes,HIPAA,Zero-Day Exploit,High,Low,PAM
Healthcare,10000,High,No,Yes,Yes,No,Yes,NERC-CIP,APT,Very Low,Low,Attack Surface Management
Real Estate,50,Low,No,Yes,Yes,No,No,FISMA,Ransomware,Low,Low,ZTNA Solution
Hospitality,2500,None,No,No,No,Yes,Yes,NERC-CIP,Shadow IT,Very Low,High,XDR Platform
Telecommunications,5000,Very High,Yes,Yes,No,No,No,NERC-CIP,Credential Theft,Very Low,Low,Security Awareness Training
Telecommunications,500,Low,No,Yes,Yes,No,No,COBIT,Malware,Very Low,High,IAM
Technology,50,Very High,Yes,Yes,No,No,No,IEC62443,Insider Threat,Medium,High,Attack Surface Management
Logistics,2500,Low,No,Yes,Yes,Yes,No,COBIT,Insider Threat,Low,Critical,DLP Solution
Technology,1000,High,Yes,No,No,Yes,Yes,COBIT,Business Email Compromise,Very Low,Critical,SIEM Solution
Transportation,5000,Low,No,No,No,No,No,ISO27001,Cryptojacking,Very Low,Critical,IAM
Healthcare,500,Very High,Yes,No,No,No,Yes,COBIT,Cryptojacking,Low,Medium,CASB
Banking,2500,Low,No,No,No,No,No,HITRUST,API Attack,Low,High,ZTNA Solution
Finance,1000,Medium,Yes,Yes,Yes,Yes,No,CCPA,Ransomware,Very Low,Critical,SOC-as-a-Service
Media,10000,High,Yes,Yes,Yes,No,Yes,FedRAMP,Supply Chain Attack,Medium,High,ZTNA Solution
Hospitality,500,Very High,No,No,No,Yes,No,FedRAMP,Shadow IT,Enterprise,Medium,DLP Solution
Pharmaceutical,5000,Low,No,Yes,Yes,Yes,Yes,SOC2,Nation-State Attack,High,Medium,Threat Intelligence Platform
Hospitality,100,Medium,No,No,Yes,Yes,No,ISO27001,API Attack,Medium,Low,DLP Solution
Oil & Gas,2500,Low,Yes,Yes,No,No,Yes,PCI-DSS,Privilege Escalation,High,Low,XDR Platform
E-Commerce,500,None,No,No,No,No,Yes,ISO27001,Ransomware,Medium,High,MDR Service
Pharmaceutical,1000,High,Yes,No,Yes,Yes,No,SOC2,Credential Theft,Low,High,Security Awareness Training
Insurance,100,High,Yes,Yes,No,Yes,Yes,PCI-DSS,APT,Very Low,High,Email Security Gateway
Hospitality,500,None,No,No,No,Yes,Yes,CCPA,Insider Threat,High,Low,IAM
Transportation,2500,None,Yes,No,Yes,Yes,Yes,ISO27001,Phishing,High,Medium,WAF
Oil & Gas,250,High,Yes,Yes,Yes,Yes,Yes,NIST,DDoS,Enterprise,Critical,SOC-as-a-Service
